詞性,日文單字,平假名 (羅馬拼音),中文意思
名詞 (Nouns),渋谷,しぶや (shibuya),澀谷
名詞 (Nouns),今日,きょう (kyou),今天
名詞 (Nouns),気,き (ki),感覺、氣息
名詞 (Nouns),もの,もの (mono),事物、東西
名詞 (Nouns),こと,こと (koto),事情
名詞 (Nouns),何枚,なんまい (nanmai),幾張
名詞 (Nouns),何回,なんかい (nankai),幾次
名詞 (Nouns),僕,ぼく (boku),我 (多為男性自稱)
名詞 (Nouns),誰,だれ (dare),誰
名詞 (Nouns),今,いま (ima),現在
名詞 (Nouns),あの日,あのひ (ano hi),那一天
名詞 (Nouns),全部,ぜんぶ (zenbu),全部
名詞 (Nouns),君,きみ (kimi),你
名詞 (Nouns),中,なか (naka),裡面、心中
動詞 (Verbs),言う,いう (iu),說
動詞 (Verbs),ゆく (行く),ゆく (yuku),去、前進
動詞 (Verbs),できる,できる (dekiru),能做到、可以
動詞 (Verbs),見つけ出す,みつけだす (mitsukedasu),找出來、發現
動詞 (Verbs),出す,だす (dasu),拿出、展現
動詞 (Verbs),走り続ける,はしりつづける (hashiritsuzukeru),持續奔跑
副詞與其他 (Adverbs & Others),どこか,どこか (dokoka),某處、總覺得哪裡
副詞與其他 (Adverbs & Others),また,また (mata),又、再
副詞與其他 (Adverbs & Others),ただ,ただ (tada),只是
副詞與其他 (Adverbs & Others),もう,もう (mou),已經
副詞與其他 (Adverbs & Others),ほら,ほら (hora),你看、瞧 (感嘆詞)
副詞與其他 (Adverbs & Others),さあ,さあ (saa),來吧 (感嘆詞)
副詞與其他 (Adverbs & Others),大丈夫,だいじょうぶ (daijoubu),沒問題、不要緊
副詞與其他 (Adverbs & Others),それでも,それでも (sore demo),即便如此
