詞性,日文單字,平假名 (羅馬拼音),中文意思
名詞 (Nouns),涙,なみだ (namida),眼淚
名詞 (Nouns),痕,あと (ato),痕跡
名詞 (Nouns),一つ,ひとつ (hitotsu),一個、一點
名詞 (Nouns),朝,あさ (asa),早上、清晨
名詞 (Nouns),音,おと (oto),聲音
名詞 (Nouns),部屋,へや (heya),房間
名詞 (Nouns),せい (所為),せい (sei),錯、原因 (誰のせい: 誰的錯)
名詞 (Nouns),言葉,ことば (kotoba),話語
名詞 (Nouns),当たり前,あたりまえ (atarimae),理所當然的事物
名詞 (Nouns),恋愛,れんあい (renai),戀愛
名詞 (Nouns),答え,こたえ (kotae),回答、答案
名詞 (Nouns),ストーリー,すとーりー (sutoorii),故事 (Story)
名詞 (Nouns),埃,ほこり (hokori),灰塵
名詞 (Nouns),道,みち (michi),道路
名詞 (Nouns),優しさ,やさしさ (yasashisa),溫柔
名詞 (Nouns),始まり,はじまり (hajimari),開始、起點
動詞 (Verbs),流す,ながす (nagasu),流 (淚)
動詞 (Verbs),過ごす,すごす (sugosu),度過
動詞 (Verbs),迎える,むかえる (mukaeru),迎接
動詞 (Verbs),鳴り響く,なりひびく (narihibiku),迴響、響起
動詞 (Verbs),閉じる,とじる (tojiru),閉上 (眼)
動詞 (Verbs),考える,かんがえる (kangaeru),思考
動詞 (Verbs),終わる,おわる (owaru),結束
動詞 (Verbs),零れる,こぼれる (koboreru),灑落、溢出
動詞 (Verbs),違う,ちがう (chigau),不同、錯了
動詞 (Verbs),想う,おもう (omou),想念、想起
動詞 (Verbs),ズレる,ずれる (zureru),偏離、錯開
動詞 (Verbs),聴き慣れる,ききなれる (kikinareru),聽慣
動詞 (Verbs),輝く,かがやく (kagayaku),閃耀
動詞 (Verbs),積もる,つもる (tsumoru),堆積、積累
動詞 (Verbs),歩く,あるく (aruku),走、步行
動詞 (Verbs),零れ落ちる,こぼれおちる (koboreochiru),灑落、滴落
動詞 (Verbs),許し合える,ゆるしあえる (yurushiaeru),互相原諒
動詞 (Verbs),戻る,もどる (modoru),回去、返回
動詞 (Verbs),届く,とどく (todoku),傳達、抵達
動詞 (Verbs),冷える,ひえる (hieru),變冷
形容詞與副詞 (Adjectives & Adverbs),悪い,わるい (warui),壞的、錯的
形容詞與副詞 (Adjectives & Adverbs),たぶん,たぶん (tabun),大概、也許
形容詞與副詞 (Adjectives & Adverbs),きっと,きっと (kitto),一定、肯定
形容詞與副詞 (Adjectives & Adverbs),ふと,ふと (futo),突然、不經意地
形容詞與副詞 (Adjectives & Adverbs),大衆的,たいしゅうてき (taishuuteki),大眾的、普通的
形容詞與副詞 (Adjectives & Adverbs),最終的,さいしゅうてき (saishuuteki),最終的
形容詞與副詞 (Adjectives & Adverbs),だんだんと,だんだんと (dandanto),逐漸地
形容詞與副詞 (Adjectives & Adverbs),あんなに,あんなに (annani),那麼地
形容詞與副詞 (Adjectives & Adverbs),辛い,つらい (tsurai),痛苦的、難受的
形容詞與副詞 (Adjectives & Adverbs),少し,すこし (sukoshi),稍微、一點點
慣用語與短句 (Phrases & Expressions),〜すら,〜すら (~sura),連〜都、甚至
慣用語與短句 (Phrases & Expressions),〜まま,〜まま (~mama),保持〜的狀態
慣用語與短句 (Phrases & Expressions),残さずに,のこさずに (nokosazuni),不留...地
慣用語與短句 (Phrases & Expressions),〜と共に,〜とともに (~to tomo ni),與〜一起
慣用語與短句 (Phrases & Expressions),仕方がない,しかたがない (shikata ga nai),沒辦法、無可奈何
慣用語與短句 (Phrases & Expressions),おかえり,おかえり (okaeri),歡迎回來
慣用語與短句 (Phrases & Expressions),思わず,おもわず (omowazu),不由得、不經意地
慣用語與短句 (Phrases & Expressions),そうだっけ,そうだっけ (sou da kke),是這樣嗎？
慣用語與短句 (Phrases & Expressions),よくある,よくある (yoku aru),常見的
