詞性,日文單字,平假名 (羅馬拼音),中文意思
名詞 (Nouns),夜,よる (yoru),夜晚
名詞 (Nouns),空,そら (sora),天空
名詞 (Nouns),二人,ふたり (futari),兩人
名詞 (Nouns),一言,ひとこと (hitokoto),一句話
名詞 (Nouns),日,ひ (hi),太陽、日子
名詞 (Nouns),姿,すがた (sugata),身影、姿態
名詞 (Nouns),フェンス,ふぇんす (fensu),圍欄 (Fence)
名詞 (Nouns),心,こころ (kokoro),心
名詞 (Nouns),空気,くうき (kuuki),空氣、氣氛
名詞 (Nouns),目,め (me),眼睛、眼神
名詞 (Nouns),世界,せかい (sekai),世界
名詞 (Nouns),言葉,ことば (kotoba),話語、言語
名詞 (Nouns),声,こえ (koe),聲音
名詞 (Nouns),涙,なみだ (namida),眼淚
名詞 (Nouns),喜び,よろこび (yorokobi),喜悅、歡樂
名詞 (Nouns),日々,ひび (hibi),日子
名詞 (Nouns),明日,あす (asu),明天
名詞 (Nouns),手,て (te),手
名詞 (Nouns),温もり,ぬくもり (nukumori),溫暖
名詞 (Nouns),顔,かお (kao),臉、表情
名詞 (Nouns),笑顔,えがお (egao),笑容
名詞 (Nouns),霧,きり (kiri),霧
名詞 (Nouns),風,かぜ (kaze),風
動詞 (Verbs),沈む,しずむ (shizumu),沉沒、落下
動詞 (Verbs),溶ける,とける (tokeru),融化、溶入
動詞 (Verbs),広がる,ひろがる (hirogaru),廣闊、擴展
動詞 (Verbs),分かる,わかる (wakaru),明白、了解
動詞 (Verbs),重なる,かさなる (kasanaru),重疊
動詞 (Verbs),奪う,うばう (ubau),奪取
動詞 (Verbs),纏う,まとう (matou),纏繞、穿著
動詞 (Verbs),鳴る,なる (naru),鳴響
動詞 (Verbs),触れる,ふれる (fureru),觸碰
動詞 (Verbs),零れる,こぼれる (koboreru),零落、落下
動詞 (Verbs),見つける,みつける (mitsukeru),尋找、發現
動詞 (Verbs),笑う,わらう (warau),笑
動詞 (Verbs),思い付く,おもいつく (omoitsuku),想起、想到
動詞 (Verbs),明ける,あける (akeru),黎明、天明 (明けない: 不會天明)
動詞 (Verbs),落ちる,おちる (ochiru),落下、墜落
動詞 (Verbs),掴む,つかむ (tsukamu),抓住
動詞 (Verbs),忘れる,わすれる (wasureru),忘記
動詞 (Verbs),閉じ込める,とじこめる (tojikomeru),關起來、封閉
動詞 (Verbs),抱きしめる,だきしめる (dakishimeru),緊緊擁抱
動詞 (Verbs),昇る,のぼる (noboru),升起
動詞 (Verbs),見つめる,みつめる (mitsumeru),凝視
動詞 (Verbs),見惚れる,みとれる (mitoreru),看入迷
動詞 (Verbs),恋する,こいする (koisuru),戀愛
動詞 (Verbs),信じる,しんじる (shinjiru),相信
動詞 (Verbs),怒る,おこる (okoru),生氣
動詞 (Verbs),泣く,なく (naku),哭泣
動詞 (Verbs),分かり合える,わかりあえる (wakariaeru),互相理解
動詞 (Verbs),疲れる,つかれる (tsukareru),疲累
動詞 (Verbs),差し伸べる,さしのべる (sashinoberu),伸出
動詞 (Verbs),振り払う,ふりはらう (furiharau),甩開、揮去
動詞 (Verbs),届く,とどく (todoku),傳達、抵達
動詞 (Verbs),釣られる,つられる (tsurareru),被吸引、被釣
動詞 (Verbs),映る,うつる (utsuru),映照
動詞 (Verbs),誘う,さそう (sasou),邀請、引誘
動詞 (Verbs),染み付く,しみつく (shimitsuku),染上、沾染
動詞 (Verbs),晴れる,はれる (hareru),放晴、散去
動詞 (Verbs),泳ぐ,およぐ (oyogu),游泳、游動
動詞 (Verbs),吹き抜ける,ふきぬける (fukinukeru),吹透、穿透
動詞 (Verbs),繋ぐ,つなぐ (tsunagu),牽、連接
動詞 (Verbs),離す,はなす (hanasu),放開
動詞 (Verbs),駆け出す,かけだす (kakedasu),跑出去、奔馳
形容詞與副詞 (Adjectives & Adverbs),儚い,はかない (hakanai),虛幻的、飄渺的
形容詞與副詞 (Adjectives & Adverbs),寂しい,さびしい (sabishii),寂寞的
形容詞與副詞 (Adjectives & Adverbs),うるさい,うるさい (urusai),吵鬧的、煩人的
形容詞與副詞 (Adjectives & Adverbs),ありきたりな,ありきたりな (arikitarina),平凡的、普通的
形容詞與副詞 (Adjectives & Adverbs),騒がしい,さわがしい (sawagashii),吵鬧的、喧鬧的
形容詞與副詞 (Adjectives & Adverbs),眩しい,まぶしい (mabushii),耀眼的
形容詞與副詞 (Adjectives & Adverbs),怖い,こわい (kowai),害怕的
形容詞與副詞 (Adjectives & Adverbs),嫌い,きらい (kirai),討厭的
形容詞與副詞 (Adjectives & Adverbs),がむしゃらに,がむしゃらに (gamushara ni),不顧一切地、拼命地
形容詞與副詞 (Adjectives & Adverbs),綺麗,きれい (kirei),美麗的
形容詞與副詞 (Adjectives & Adverbs),優しく,やさしく (yasashiku),溫柔地
形容詞與副詞 (Adjectives & Adverbs),涼しい,すずしい (suzushii),涼爽的
慣用語與短句 (Phrases & Expressions),フェンス越しに,ふぇんすごしに (fensugoshi ni),隔著/跨越圍欄
慣用語與短句 (Phrases & Expressions),心無い,こころない (kokoronai),無情的、不善解人意的
慣用語與短句 (Phrases & Expressions),何度だって,なんどだって (nando datte),無論幾次
慣用語與短句 (Phrases & Expressions),思い付く限り,おもいつくかぎり (omoitsuku kagiri),盡可能地、盡我所能地想到
慣用語與短句 (Phrases & Expressions),どうしたって,どうしたって (doushi tatte),無論如何
慣用語與短句 (Phrases & Expressions),そのたんび,そのたんび (sono tanbi),每一次
慣用語與短句 (Phrases & Expressions),もう嫌だ,もういやだ (mou iya da),已經受夠了
