詞性,日文單字,平假名 (羅馬拼音),中文意思
名詞 (Nouns),話,はなし (hanashi),故事、話語
名詞 (Nouns),終わり,おわり (owari),結束
名詞 (Nouns),地,ち (chi),土地、地方
名詞 (Nouns),影,かげ (kage),影子、陰影
名詞 (Nouns),旅,たび (tabi),旅行、旅途
名詞 (Nouns),物語,ものがたり (monogatari),故事
名詞 (Nouns),人,ひと (hito),人
名詞 (Nouns),言葉,ことば (kotoba),話語、言語
名詞 (Nouns),願い,ねがい (negai),願望
名詞 (Nouns),途,みち (michi),道路、旅途 (歌詞特別以「途」代「道」)
名詞 (Nouns),頬,ほほ (hoho),臉頰
名詞 (Nouns),涙,なみだ (namida),眼淚
名詞 (Nouns),一人,ひとり (hitori),一個人、孤身
名詞 (Nouns),街,まち (machi),街道、城鎮
名詞 (Nouns),シンボル,しんぼる (shinboru),標誌、象徵 (Symbol)
名詞 (Nouns),未来,みらい (mirai),未來
名詞 (Nouns),百分の一,ひゃくぶんのいち (hyakubun no ichi),百分之一
名詞 (Nouns),風,かぜ (kaze),風
名詞 (Nouns),誰,だれ (dare),誰
名詞 (Nouns),手,て (te),手
名詞 (Nouns),全て,すべて (subete),全部、一切
名詞 (Nouns),時間,じかん (jikan),時間
名詞 (Nouns),始まり,はじまり (hajimari),開始
動詞 (Verbs),落とす,おとす (otosu),落下、投下 (影を落とす: 蒙上陰影)
動詞 (Verbs),忘れる,わすれる (wasureru),忘記
動詞 (Verbs),生きる,いきる (ikiru),活著
動詞 (Verbs),知る,しる (shiru),知道、了解
動詞 (Verbs),歩む,あゆむ (ayumu),邁步、走過
動詞 (Verbs),居る,いる (iru),存在、在
動詞 (Verbs),見つける,みつける (mitsukeru),找到、發現
動詞 (Verbs),続く,つづく (tsuzuku),繼續、持續
動詞 (Verbs),出会う,であう (deau),相遇
動詞 (Verbs),残る,のこる (nokoru),殘留、留下 (自動詞)
動詞 (Verbs),作る,つくる (tsukuru),製作、建造
動詞 (Verbs),思い出す,おもいだす (omoidasu),回想起
動詞 (Verbs),変える,かえる (kaeru),改變
動詞 (Verbs),消える,きえる (kieru),消失
動詞 (Verbs),取る,とる (toru),牽、取
動詞 (Verbs),始まる,はじまる (hajimaru),開始
動詞 (Verbs),笑う,わらう (warau),笑
形容詞與副詞 (Adjectives & Adverbs),長過ぎる,ながすぎる (nagasugiru),太長了
形容詞與副詞 (Adjectives & Adverbs),短い,みじかい (mijikai),短暫的
形容詞與副詞 (Adjectives & Adverbs),かつて,かつて (katsute),曾經、從前
形容詞與副詞 (Adjectives & Adverbs),もっと,もっと (motto),更加、更多
形容詞與副詞 (Adjectives & Adverbs),共に,ともに (tomo ni),一起、共同
形容詞與副詞 (Adjectives & Adverbs),あちらこちら,あちらこちら (achira kochira),到處、各處
形容詞與副詞 (Adjectives & Adverbs),いつか,いつか (itsuka),遲早、某天
形容詞與副詞 (Adjectives & Adverbs),いつでも,いつでも (itsudemo),無論何時、總是
